Regime,Model,F1,AUROC,AUPRC,Accuracy,Precision,Recall,Brier,ECE
TRTR,RandomForest,0.9989364530709919,0.9998577905726573,0.99972020234759,0.9989361702127659,0.9986709197235513,0.9992021276595745,0.0009750826846762099,0.0009577319712545079
TRTR,LightGBM,0.9993351947879271,0.9999991158329561,0.9999990806917591,0.9993351063829787,0.9992023398032438,0.999468085106383,0.0004266226056264654,0.000558974450439058
TRTR,XGBoost,0.998936735778841,0.9997308595518334,0.9994641244649194,0.9989361702127659,0.9984059511158342,0.999468085106383,0.0008274768029197887,0.0005701234209489949
TSTR,RandomForest,0.6077998528329654,0.8490669915685831,0.8496801358657096,0.7164893617021276,0.9856801909307876,0.43936170212765957,0.2410428322956626,0.2646587498519094
TSTR,LightGBM,0.6625310173697271,0.8553285211068357,0.8586727329378159,0.7468085106382979,0.9930924548352816,0.49707446808510636,0.22461574609151594,0.2491715719389611
TSTR,XGBoost,0.6268602540834846,0.8475436424852876,0.858320614595345,0.7265957446808511,0.9868571428571429,0.45930851063829786,0.24148462687668795,0.2548492297152289
TRTS,RandomForest,0.890774378585086,0.9589599366229064,0.9353390297723218,0.8784574468085107,0.8088107638888888,0.9912234042553192,0.10308686973934662,0.08419982348018776
TRTS,LightGBM,0.8987463837994213,0.9332244511090991,0.8840174129685218,0.8882978723404256,0.8218694885361552,0.9914893617021276,0.09964138413483839,0.041757284106547624
TRTS,XGBoost,0.8904044029672171,0.9182085714689905,0.8610959550561836,0.8781914893617021,0.8092648977816442,0.9896276595744681,0.11021197856448228,0.03756062024913882
